Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PELANTIKAN PERSATUAN PENGILANG-PENGILANG KASUT MALAYSIA SEBAGAI PENGENDALI ACARA MALAYSIA INTERNATIONAL SHOE FESTIVAL 2015 PADA 13 HINGGA 15 MAC 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,MALAYSIAN FOOTWEAR MANUFACTURERS ASSOCIATION,1967500.00,Kepakaran,05/01/2015
PERMOHONAN KELULUSAN UNTUK MENYAMBUNG KONTRAK PENYELENGGARAAN SISTEM MYFINANCIAL OLEH SYARIKAT SOFTWARE WIZARDS (M) SDN BHD UNTUK FRIM KEPONG SELANGOR DARUL EHASAN (1 JANUARI 2015 - 31 DISEMBER 2016),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),SOFTWARE WIZARDS (M) SDN. BHD.,200000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran, Penyeragaman",29/12/2014
PERMOHONAN KELULUSAN BAGI PEROLEHAN PERKHIDMATAN SECARA RUNDINGAN TERUS BAGI PROGRAM BANTUAN RAKYAT 1 MALAYSIA(BR1M) BAGI TAHUN 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),"PERCETAKAN NASIONAL MALAYSIA BERHAD,               DATAPOS (M) SDN. BHD., 
CELCOM MOBILE SDN. BHD.",23570250.40,MENDESAK,26/12/2014
PEROLEHAN PERKHIDMATAN PENYELENGGARAAN SISTEM PERAKAUNAN STANDARD ACCOUNTING SYSTEM FOR GOVERNMENT AGENCIES (SAGA) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM)- TIGA TAHUN MULAI 1/MAC/2015 HINGGA 28/2/2018,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,3500000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",24/12/2014
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PEMBELIAN RUANG MEDIA (MEDIA CETAK) UNTUK AKTIVITI PROMOSI DAN PUBLISITI PROGRAM-PROGRAM DI BAWAH KKMM BAGI TEMPOH TIGA (3) TAHUN MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,"GRUP MAJALAH KARANGKRAF SDN. BHD., THE NEW STRAITS TIMES PRESS (MALAYSIA) BHD, UTUSAN MEDIA SALES SDN. BHD.",3105000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),17/12/2014
MEMOHON KELULUSAN RUNDINGAN TERUS DAN MEMPERBAHARUI PERJANJIAN PENYELENGGARAAN SISTEM KEWANGAN SAGA  DENGAN CENTURY SOFTWARE (M) SDN BHD MULAI 1 JANUARI 2014 HINGGA 31 DISEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,PERBADANAN ASET KERETAPI,CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,69000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",08/12/2014
PELANJUTAN KONTRAK SYARIKAT ALAM TEKNOKRAT SDN BHD BAGI PERKHIDMATAN PEMBANGUNAN LAMAN WEB LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM) TAHUN 2015 UNTUK TEMPOH SATU (1) TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM),ALAM TEKNOKRAT SDN. BHD.,151200.00,"Kepakaran, Penyeragaman",05/12/2014
PERKHIDMATAN PENAMBAHBAIKAN MODUL E-BAYAR BALIK SISTEM PERAKAUNAN HASIL BERELEKTRONIK (ERAS) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA BAGI TEMPOH 4 BULAN MULAI 15 JANUARI 2015 HINGGA 14 MEI 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,98000.00,"PENYERAGAMAN, KEPAKARAN",04/12/2014
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEROLEHAN 62 UNIT PERALATAN TABLET DI JABATAN AKAUNTAN NEGARA MALAYSIA (JANM). (TEMPOH: PEMBEKALAN 7 HARI MULAI 17/12/2014 HINGGA 23/12/2014 DAN 1 TAHUN TEMPOH JAMINAN + 1 TAHUN JAMINAN TAMBAHAN),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,HAZ TECH,220286.00,Keperluan Mendesak,01/12/2014
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN KEPADA SYARIKAT PENGANGKUTAN AWAM PUTRAJAYA SDN BHD BAGI MENJAYAKAN PELAN PROMOSI LUARAN (OUTDOOR) KESEDARAN ASEAN 2015 KEPADA SYARIKAT PENGANGKUTAN AWAM PUTRAJAYA SDN BHD
TEMPOH : 3 BULAN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN LUAR NEGERI,KEMENTERIAN LUAR NEGERI,PENGANGKUTAN AWAM PUTRAJAYA SDN. BHD.,70000.00,Keperluan Mendesak,28/11/2014
PERMOHONAN PEROLEHAN AKSESORI ULTRASOUND TRANSDUCER BAGI PERALATAN ULTRASOUND SCANNER SECARA RUNDINGAN TERUS,BEKALAN,KEMENTERIAN PENDIDIKAN TINGGI,PUSAT PERUBATAN UNIVERSITI MALAYA (PPUM),PHILIPS MALAYSIA SDN. BHD.,70000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),28/11/2014
PERMOHONAN LEMBAGA HASIL DALAM NEGERI (LHDN) BAGI KELULUSAN KHAS PEROLEHAN MEMBEKAL DAN MENGHANTAR SAGEM MORPHOSMART 350 USB FINGERPRINT SCANNER WITH SMARTCARD READER SECARA RUNDINGAN TERUS DENGAN YASMIN TEKNOLOGI SDN. BHD. SECARA 'ONE OFF',BEKALAN,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),YASMIN TEKNOLOGI SDN. BHD.,81400.00,"SATU PUNCA (BEKALAN), PENYERAGAMAN",28/11/2014
"PEMBAYARAN SECARA TERUS KEPADA MEDIA PRIMA BERHAD SELAKU AGENSI MEDIA BAGI PROGRAM ""15 SAAT BERSAMA MOA"" (1800 SPOT IKLAN) DI BAWAH PROGRAM PROMOSI KEMENTERIAN DI SLOT TV3 BAGI TAHUN 2015",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,MEDIA PRIMA BERHAD,2014000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),26/11/2014
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN CENTRE OF EXCELLENCE (COE) SPA BARU UNTUK MELAKSANAKAN KURSUS NOSS JURUTERAPI SPA (MP-061-3:2012) BAGI MENGGUNAKAN KAEDAH SISTEM LATIHAN DUAL NASIONAL (SLDN) BAGI TEMPOH DUA TAHUN MULAI 24 FEBUARI 2015 SEHINGGA 23 FEBUARI 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,"KARISMA MERDU SDN. BHD,
YTL HOTELS MANAGEMENT SERVICES SDN. BHD.",1660000.00,"MENDESAK, KEPAKARAN",20/11/2014
CADANGAN PERTAMBAHAN LESEN HUMAN RESOURCE USER (HR USER) SISTEM TALENT MANAGEMENT DI LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM) SECARA RUNDINGAN TERUS DENGAN AVIT SYSTEM SDN. BHD (TEMPOH 7 BULAN MULAI 1 JANUARI 2015 HINGGA 31 JULAI 2015),BEKALAN,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),AVIT SYSTEM SDN. BHD.,380000.00,Penyeragaman,19/11/2014
"PERMOHONAN PEROLEHAN PAS DAN SISTEM KESELAMATAN SECARA RUNDINGAN TERUS (DIRECT NEGOTIATION) BAGI PERSIDANGAN / MESYUARAT ASEAN SEPANJANG TAHUN 2015 SEMPENA KEPENGERUSIAN ASEAN TAHUN 2015
TEMPOH : SEPANJANG TAHUN 2015",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN LUAR NEGERI,KEMENTERIAN LUAR NEGERI,PERCETAKAN NASIONAL MALAYSIA BERHAD,950000.00,Keperluan Mendesak,18/11/2014
PERMOHONAN KELULUSAN KONTRAK PERKHIDMATAN PENYELENGGARAAN PERALATAN BAGI SATU (1) UNIT AXIOM ARTIS DFA ANGIOGRAPHY SYSTEM SECARA RUNDINGAN TERUS DENGAN AGEN TUNGGAL TEMPATAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,UNIVERSITI MALAYA,SIEMENS MALAYSIA SDN. BHD.,460000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",14/11/2014
"PERMOHONAN KELULUSAN MELANTIK PFS GLOBAL LIMITED (PFS), CHARLES RIVER DEVELOPMENT (CRD), ADV FUSIONEX SDN. BHD. (ADV) DAN KE SDN. BHD. (KE) BAGI TUJUAN PELAKSANAAN GST DAN MENAMBAH BAIK FUNGSI SISTEM SECARA RUNDINGAN TERUS DI KUMPULAN WANG SIMPANAN PEKERJA(TEMPOH: 18 BULAN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),"PFS GLOBAL LIMITED, CHARLES RIVER DEVELOPMENT INC., ADV FUSIONEX SDN. BHD., KE SDN. BHD.",3684108.00,Penyeragaman,13/11/2014
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN SYARIKAT NEXUSTEL SDN BHD (NSD) UNTUK PEMBELIAN EMPAT (4) UNIT SISTEM TELEFON DEALERS TRADING   (ETRALI) BAGI TAHUN 2014,BEKALAN,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),NEXUSTEL SDN. BHD.,103925.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),13/11/2014
PERMOHONAN BAGI PERKHIDMATAN PENYELENGGARAAN SISTEM INTEGRATED LIBRARY MANAGEMENT UTILITY (ILMU) UNTUK PERPUSTAKAAN KEMENTERIAN DALAM NEGERI SECARA RUNDINGAN TERUS DENGAN SYARIKAT PARADIGM SYSTEMS BERHAD UNTUK TEMPOH 1 JANUARI 2015 SEHINGGA 31 DISEMBER 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN DALAM NEGERI,KEMENTERIAN DALAM NEGERI,PARADIGM SYSTEMS BERHAD,64500.00,"PENYERAGAMAN, KEPAKARAN",13/11/2014
"PERMOHONAN JABATAN KASTAM DIRAJA MALAYSIA BAGI KELULUSAN PEROLEHAN PERKHIDMATAN PENYELENGGARAAN PENCEGAHAN, PEMBAIKAN KEROSAKAN DAN PEMBEKALAN ALAT GANTI BAGI 2 UNIT MESIN PENGIMBAS KARGO SMITHS DETECTION MODEL HCVP 6030 DI LALUAN EKSPORT KOMPLEKS CIQ BANGUNAN SULTAN ISKANDAR (BSI),BUKIT CAGAR JOHOR BAHRU UNTUK TEMPOH TIGA TAHUN MULAI 16 MAC 2015 HINGGA 15 MAC 2018",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,WAFADA TECHNIC & CONSULT SDN. BHD.,8224133.00,SATU PUNCA (PERKHIDMATAN),13/11/2014
PERMOHONAN KELULUSAN KONTRAK PERKHIDMATAN PENYELENGGARAAN PERALATAN BAGI DUA (2)UNIT SINGLE_PHOTON EMISSION COMPUTED TOMOGRAPHY (SPECT) SECARA RUNDINGAN TERUS DENGAN AGEN TUNGGAL TEMPATAN UNTUK TEMPOH DUA (2) TAHUN MULAI 1 FEBRUARI 2015 HINGGA 31 JANUARI 2017,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,UNIVERSITI MALAYA,PHILIPS MALAYSIA SDN. BHD.,630000.00,"SATU PUNCA (PERKHIDMATAN),
KEPAKARAN",13/11/2014
PERMOHONAN KELULUSAN RUNDINGAN TERUS DENGAN PUTRADE PROPERTY MANAGEMENT SDN BHD BAGI PENYEWAAN PRIME BOOTH PAMERAN KORPORAT UNTUK KEGUNAAN KPM SEMPENA PERHIMPUNAN AGUNG UMNO 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN KHIDMAT PENGURUSAN,PUTRADE PROPERTY MANAGEMENT SDN. BHD.,120000.00,"Kontrak dengan Syarikat Pembuat Bumiputera, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",11/11/2014
"PERMOHONAN LANTIKAN SECARA RUNDINGAN TERUS SYARIKAT PADU PRIMA SDN. BHD. SEBAGAI PERUNDING DAN KONTRAKTOR RASMI BAGI PERKHIDMATAN MEREKABENTUK,  MEMBUAT, MEMBEKAL, MEMASANG, MENYENGGARA, MEMBUKA SEMULA DAN MEMBERSIH KAWASAN ASTAKA-ASTAKA TOURISM MALAYSIA 2015",BEKALAN,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,LEMBAGA PENGGALAKAN PELANCONGAN MALAYSIA,PADU PRIMBA SDN. BHD.,4390000.00,"Kepakaran, Penyeragaman",11/11/2014
"PERMOHONAN PEROLEHAN RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN DAN PENAMBAHBAIKAN SISTEM PENGURUSAN PEMAJU PERUMAHAN SWASTA (IDAMAN II) JABATAN PERUMAHAN NEGARA (JPN), KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT) DENGAN TEMPOH PROJEK  SELAMA 9 BULAN",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,DATA ENVELOPMENT ANALYSIS SDN. BHD.,251000.00,"PENYERAGAMAN, KEPAKARAN",11/11/2014
PELANTIKAN PERKHIDMATAN SECARA RUNDINGAN TERUS UNTUK ANALISIS KETULENAN CAP JARI DNA SAMPEL DAUN NANAS MD2 MENGGUNAKAN PENANDA MOLEKULAR SSR BAGI TAHUN 2014 DAN 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM),MALAYSIAN BIOTECH CORPORATION SDN BHD,262075.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",09/11/2014
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN RAWATAN RADIOTERAPI OLEH HOSPITAL TENGKU AMPUAN RAHIMAH, KLANG UNTUK TEMPOH DUA (2) TAHUN MULAI 1 DISEMBER 2014 SEHINGGA 30 NOVEMBER 2016",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,KEMENTERIAN KESIHATAN MALAYSIA,SOUTHERN MEDICARE SDN. BHD.,1985000.00,KEPAKARAN,07/11/2014
LATIKAN SYARIKAT MALAYSIAN GREEN TECHNOLOGY CORPORATION (MGTC) SEBAGAI AGENSI PELAKSANA PENGANJURAN INTERNATIONAL GREENTECH & ECO PRODUCTS EXHIBITION & CONFERENCE MALAYSIA (IGEM 2015),PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",BAHAGIAN KHIDMAT PENGURUSAN,MALAYSIAN GREEN TECHNOLOGY CORPORATION (MGTC),3980000.00,Kepakaran,04/11/2014
CADANGAN DAN KELULUSAN PELAKSANAAN INTEGRASI SISTEM PENGURUSAN ASET (SPA) DAN SISTEM PERAKAUNAN (SAGA) DI PERBADANAN PRODUKTIVITI MALAYSIA (MPC) BAGI TAHUN 2014/2015 SECARA RUNDINGAN TERUS,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,PERBADANAN PRODUKTIVITI MALAYSIA (MPC),"KANNTRONICS SDN. BHD., CENTURY SOFTWARE (MALAYSIA) SDN. BHD.",101200.00,"Kepakaran, Penyeragaman",31/10/2014
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN SYARIKAT MEDIA PRIMA BERHAD UNTUK MELAKSANAKAN KEMPEN KESEDARAN AWAM BAGI TEMPOH SATU TAHUN (2015),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),MEDIA PRIMA BERHAD,5000000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/10/2014
MEMOHON KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PEMANTAUAN MEDIA KEMENTERIAN WILAYAH PERSEKUTUAN UNTUK TEMPOH DUA (2) TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN WILAYAH PERSEKUTUAN,,NEWS & ADS MONITORING ALLIED SDN. BHD.,150000.00,Penyeragaman,29/10/2014
"PERMOHONAN KELULUSAN BAGI CADANGAN MEMBANGUNKAN MODUL INVESTMENT EXECUTIVE INFORMATION PORTAL (INVESTPORTAL) MELALUI PELANTIKAN PFS GLOBAL LIMITED UNTUK MELANGGAN SISTEM INFOHUB DAN SISTEM PUBLISHER SUITE SERTA PELANTIKAN PFS GLOBAL LIMITED, CHARLES RIVER DEVELOPMENT INC DAN ADV-FUSIONEX SDN. BHD. SEBAGAI KONSULTAN UNTUK INTEGRASI DATA SECARA RUNDINGAN TERUS DI KUMPULAN WANG SIMPANAN PEKERJA. (TEMPOH: 3 TAHUN DENGAN OPSYEN 2 TAHUN LANJUTAN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),"PFS GLOBAL LIMITED, CHARLES RIVER DEVELOPMENT, ADV FUSIONEX SDN. BHD.",4185000.00,"Kepakaran, Penyeragaman",27/10/2014
"RUNDINGAN TERUS BAGI PERKHIDMATAN SEWAAN SISTEM IP PABX DENGAN TELEKOM MALAYSIA SELAMA 60 BULAN (5 TAHUN) BAGI TUJUAN MIGRASI SISTEM TELEKOMUNIKASI DARI SISTEM TM CENTREX SEDIA ADA KEPADA SISTEM IP PABX, DI IBU PEJABAT MARDI SERDANG, SELANGOR BAGI TEMPOH LIMA (5)TAHUN",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),TELEKOM MALAYSIA BERHAD,2378940.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),27/10/2014
PERMOHONAN UNTUK PEROLEHAN SECARA RUNDINGAN TERUS BAGI PELANTIKAN WORLD COMMUNICATION NETWORK RESOURCES (M) SDN BHD UNTUK MELAKSANAKAN KEMPEN KOMUNIKASI RANCANGAN TAMBANG BARU TEKSI DAN BAS EKSPRES UNTUK SURUHANJAYA PENGANGKUTAN AWAM DARAT (SPAD)BAGI TEMPOH SELAMA EMPAT  BULAN MULAI 29 JANUARI 2015 HINGGA 28 MEI 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,SURUHANJAYA PENGANGKUTAN AWAM DARAT (SPAD),WORLD COMMUNICATIONS NETWORK RESOURCES (M) SDN. BHD.,424919.00,MENDESAK,27/10/2014
PELANJUTAN KONTRAK PENYELENGGARAAN PERISIAN SPEEDMINER DW AND BPM SECARA RUNDINGAN TERUS DENGAN SPEEDMINER SDN BHD BAGI TEMPOH 18 OKTOBER 2014 HINGGA 31 DISEMBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),SPEEDMINER SDN. BHD.,89205.00,"MENDESAK, KEPAKARAN",16/10/2014
"PERMOHONAN JABATAN AKAUNTAN NEGARA MALAYSIA BAGI PERKHIDMATAN PENYENGGARAAN PERISIAN SYSTEMS, APPLICATION, AND PRODUCTS IN DATA PROCESSING (SAP) BAGI GOVERNMENT FINANCIAL MANAGEMENT ACCOUNTING SYSTEM (GFMAS) UNTUK TEMPOH TIGA TAHUN MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2017",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,SAP MALAYSIA SDN. BHD.,17606642.44,SATU PUNCA (PERKHIDMATAN),16/10/2014
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI ASET PENCERAPAN DATA (PERISIAN SIMULATOR PEMANDUAN DAN EYE TRACKER) TINGKAH LAKU PEMANDU KENDERAAN MENGGUNAKAN SIMULATOR PEMANDUAN UNTUK INSTITUT PENYELIDIKAN KESELAMATAN JALAN RAYA MALAYSIA UNTUK TEMPOH 1 TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGANGKUTAN,KEMENTERIAN PENGANGKUTAN MALAYSIA,SDS ASSOCIATES SDN BHD,515000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",15/10/2014
MAKLUMAN KEPUTUSAN JAWATAN KUASA RUNDINGAN HARGA BAGI PEROLEHAN BEKALAN PERANGKAP KAMERA DAN AKSESORI UNTUK JABATAN PERHILITAN TAHUN 2014,BEKALAN,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN PERLINDUNGAN HIDUPAN LIAR DAN TAMAN NEGARA (PERHILITAN),STAR FEST SDN. BHD.,399510.00,Kepakaran,15/10/2014
PERMOHONAN KELULUSAN KHAS JABATAN AKAUNTAN NEGARA BAGI PEROLEHAN PEMBANGUNAN DAN PELAKSANAAN SISTEM PERAKAUNAN LUAR NEGERI AKRUAN (1SPLN) SECARA RUNDINGAN TERUS DENGAN SYARIKAT KONSORTIUM JAYA SDN. BHD. BAGI TEMPOH 29 BULAN MULAI 1 NOVEMBR 2014 SEHINGGA 31 MAC 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,KONSORTIUM JAYA SDN.BHD.,1399000.00,"MENDESAK, PENYERAGAMAN, KEPAKARAN",15/10/2014
PERMOHONAN PEROLEHAN PERKHIDMATAN PROFESIONAL PERUNDINGAN INTERNET PROTOCOL VERSI 6 (IPV6) READINESS ASSESSMENT UNTUK PENSIJILAN IPV6 READY DAN IPV6 ENABLED WWW BAGI SISTEM RANGKAIAN LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM) SECARA RUNDINGAN TERUS DENGAN IPV6 GLOBAL SDN. BHD. (TEMPOH: 37 HARI (MAN DAYS)- MULAI 1 DISEMBER 2014 HINGGA 6 JANUARI 2015),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),IPV6 GLOBAL SDN. BHD.,70000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),14/10/2014
PEROLEHAN MENAIKTARAF SISTEM PERAKAUNAN SAGA BAGI IMPLEMENTASI SISTEM CUKAI BARANGAN DAN PERKHIDMATAN (GST) SECARA RUNDINGAN TERUS BAGI TEMPOH 1 MAC 2015 SEHINGGA 30 JUN 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,134000.00,"PENYERAGAMAN, KEPAKARAN",12/10/2014
MOHON KELULUSAN KHAS UNTUK MELANTIK DAGANG NET TECHNOLOGIES SDN. BHD. (DNT) SECARA RUNDINGAN TERUS UNTUK MENINGKATKAN SISTEM SIJIL TEMPASAL BERKEUTAMAAN SECARA ELEKTRONIK (EPCO) DI BAWAH PERJANJIAN PERKONGSIAN EKONOMI MALAYSIA-JEPUN (MJEPA)BAGI TEMPOH DUA TAHUN MULAI 2014 HINGGA 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,DAGANG NET TECHNOLOGIES SDN. BHD.,91485.00,Keperluan Mendesak,10/10/2014
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN CENTRE OF EXCELLECE (COE) SPA BARU UNTUK MELAKSANAKAN KURSUS NOSS JURUTERAPI SPA (MP-061-3:2012) MENGGUNAKAN KAEDAH SISTEM LATIHAN DUAL NASIONAL (SLDN) BAGI TEMPOH DUA TAHUN MULAI 19 NOVEMBER 2014 SEHINGGA 18 NOVEMBER 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,"JARI-JARI SDN. BHD, ENERGY ACADEMY SDN. BHD, 
STELLA-IN BEUTY ACADEMI SDN. BHD, BEAUBELLA WORLDWIDE SDN. BHD.",4980000.00,"MENDESAK, KEPAKARAN",26/09/2014
PERMOHONAN RAYUAN PRTIMBANGAN SEMULA KE ATAS KELULUSAN PELANTIKAN SYRIKAT JOWIN (M) SDN. BHD. BAGI MELAKSANAKAN PERKHIDMATAN PENYENGGARAAN 13 UNIT MESIN KARDEX LEXTRIEVER SECARA RUNDINGAN TERUS BAGI TEMPOH 2 TAHUN DAN OPSYEN PELANJUTAN 1 TAHUN DI KUMPULAN WANG SIMPANAN PEKERJA (KWSP) (TEMPOH : 1 NOVEMBER 2014 HINGGA 31 OKTOBER 2017),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),JOWIN (M) SDN. BHD.,100068.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),25/09/2014
